source,policy_text,domain,stakeholders,agree_pct,neutral_pct,disagree_pct,support_score,consensus_score,word_count,year,is_privacy,is_employment,is_economic,is_legal,is_tech,is_social,description,policy_type,country,policy_density_context,economic_pressure_context,education_readiness_context,support_bucket,domain_encoded,stakeholder_encoded,estimated_support_bucket,support_probability
Stanford,Stricter data privacy regulations ,Privacy,General Public,80.4,9.5,10.1,70.30000000000001,89.9,4,2024.0,1,0,0,1,0,0,,,,0.09741969457609267,0.6,0.5,High,4,1,High,0.5711666666666667
Stanford,Retraining for unemployed ,Other,General Public,76.2,14.0,9.8,66.4,90.2,3,2024.0,0,0,0,0,1,0,,,,0.5418641390205371,0.5,0.5,High,3,1,High,0.679
Stanford,AI deployment regulations ,Legal/Governance,General Public,72.5,14.5,13.0,59.5,87.0,3,2024.0,0,0,0,1,1,0,,,,0.07424960505529225,0.5,0.55,High,2,1,High,0.8268333333333332
Stanford,Stronger antitrust ,Other,General Public,57.7,24.5,17.8,39.900000000000006,82.2,2,2024.0,0,0,0,0,0,0,,,,0.5418641390205371,0.5,0.5,High,3,1,High,0.5962619047619049
Stanford,Parole and sentencing AI regulations ,Legal/Governance,General Public,54.7,20.2,25.1,29.6,74.9,5,2024.0,0,0,0,1,1,0,,,,0.07424960505529225,0.5,0.55,High,2,1,High,0.6453333333333333
Stanford,Bias audits for hiring and promotion AI ,Other,General Public,51.7,18.3,30.0,21.700000000000003,70.0,7,2024.0,0,1,0,0,1,0,,,,0.5418641390205371,0.5,0.5,High,3,1,High,0.627
Stanford,Stronger social safety net ,Other,General Public,46.4,24.6,29.0,17.4,71.0,4,2024.0,0,0,0,0,0,0,,,,0.5418641390205371,0.5,0.5,Medium,3,1,Medium,0.6765000000000001
Stanford,Federal regulations on local government AI ,Legal/Governance,Government,45.6,22.8,31.7,13.900000000000002,68.4,6,2024.0,0,0,0,1,1,0,,,,0.07424960505529225,0.5,0.55,Medium,2,2,Medium,0.6716666666666667
Stanford,Semiconductor and AI hardware subsidies ,Technology,General Public,44.4,27.4,28.2,16.2,71.8,5,2024.0,0,0,0,0,1,0,,,,0.09320695102685624,0.7,0.8,Medium,5,1,Medium,0.84
Stanford,Higher corporate income taxes ,Economic,Business,42.9,30.5,26.6,16.299999999999997,73.4,4,2024.0,0,0,1,0,0,0,,,,0.04265402843601896,0.85,0.75,Medium,0,0,Medium,0.8466666666666666
Stanford,Robot tax ,Economic,General Public,42.4,22.3,35.3,7.100000000000001,64.7,2,2024.0,0,0,1,0,0,0,,,,0.04265402843601896,0.85,0.75,Medium,0,1,Medium,0.8066666666666665
Stanford,Immigration reform for AI developers ,Other,General Public,39.1,34.1,26.8,12.3,73.2,5,2024.0,0,0,0,0,1,0,,,,0.5418641390205371,0.5,0.5,Medium,3,1,Medium,0.7606666666666668
Stanford,Law enforcement facial recognition ban ,Legal/Governance,General Public,34.2,26.0,39.8,-5.599999999999994,60.2,5,2024.0,0,0,0,1,0,0,,,,0.07424960505529225,0.5,0.55,Low,2,1,Low,0.6373333333333332
Stanford,Wage subsidies for wage declines ,Employment,General Public,33.9,27.0,39.0,-5.100000000000001,60.9,5,2024.0,0,0,0,0,0,0,,,,0.06635071090047394,0.9,0.6,Low,1,1,Low,0.78
Stanford,Universal basic income ,Other,General Public,24.6,17.1,58.3,-33.7,41.7,3,2024.0,0,0,0,0,0,0,,,,0.5418641390205371,0.5,0.5,Low,3,1,Low,0.5372380952380952
OECD,SPACERESOURCES.LU,Other,General Public,0.0,0.0,0.0,0.0,0.0,1,2016.0,0,1,0,0,0,0,"Within the SpaceResources.lu initiative, the country’s overall framework, including but not limited to the legal regime, supports any space companies as well as bolstering global security and stimulating emerging sectors such as robotics and artificial intelligence.",Unknown,Luxembourg,0.5418641390205371,0.5,0.5,,3,1,High,0.6744285714285715
OECD,DIGITAL LUXEMBOURG,Other,General Public,0.0,0.0,0.0,0.0,0.0,2,2014.0,0,0,0,0,0,0,Consolidating Luxembourgs position in the ICT fields in the longer term.,Unknown,Luxembourg,0.5418641390205371,0.5,0.5,,3,1,High,0.5962619047619049
OECD,DIGITAL LUXEMBOURG,Other,General Public,0.0,0.0,0.0,0.0,0.0,2,2014.0,0,0,0,0,0,0,Consolidating Luxembourgs position in the ICT fields in the longer term.,Unknown,Luxembourg,0.5418641390205371,0.5,0.5,,3,1,High,0.5962619047619049
OECD,DIGITAL TECH FUND,Economic,General Public,0.0,0.0,0.0,0.0,0.0,3,2016.0,0,0,1,0,1,0,A seed fund was set up in 2016 jointly by the Ministry of Economy and a group of private investors.,Unknown,Luxembourg,0.04265402843601896,0.85,0.75,,0,1,Medium,0.69
OECD,GAMEINN,Other,General Public,0.0,0.0,0.0,0.0,0.0,1,2016.0,0,0,1,0,0,0,Funding opportunities for the producers of video games (the thematic scope of the programme comprises the application of Artificial Intelligence in video games).,Unknown,Poland,0.5418641390205371,0.5,0.5,,3,1,High,0.5184285714285715
OECD,POLAND-TAIWAN SCIENTIFIC CO-OPERATION,Other,General Public,0.0,0.0,0.0,0.0,0.0,3,2012.0,0,0,1,0,1,1,"Poland-Taiwan scientific co-operation is based on the agreement between the National Centre for Research and Development and the Ministry of Science and Technology of the Republic of China (originally established as the National Science Council of Taiwan) and consists in joint funding of scientific and R&D projects and organisation of scientific seminars, among others.",Unknown,Poland,0.5418641390205371,0.5,0.5,,3,1,High,0.6185
OECD,POLAND-TAIWAN SCIENTIFIC CO-OPERATION,Other,General Public,0.0,0.0,0.0,0.0,0.0,3,2012.0,0,0,1,0,1,1,"Poland-Taiwan scientific co-operation is based on the agreement between the National Centre for Research and Development and the Ministry of Science and Technology of the Republic of China (originally established as the National Science Council of Taiwan) and consists in joint funding of scientific and R&D projects and organisation of scientific seminars, among others.",Unknown,Poland,0.5418641390205371,0.5,0.5,,3,1,High,0.6185
OECD,POLAND-TAIWAN SCIENTIFIC CO-OPERATION,Other,General Public,0.0,0.0,0.0,0.0,0.0,3,2012.0,0,0,1,0,1,1,"Poland-Taiwan scientific co-operation is based on the agreement between the National Centre for Research and Development and the Ministry of Science and Technology of the Republic of China (originally established as the National Science Council of Taiwan) and consists in joint funding of scientific and R&D projects and organisation of scientific seminars, among others.",Unknown,Poland,0.5418641390205371,0.5,0.5,,3,1,High,0.6185
OECD,AI PROGRAMME,Other,General Public,0.0,0.0,0.0,0.0,0.0,2,2017.0,0,0,0,0,1,0,"The AI programme, which published its interim report with eight proposals in October 2017 and final report in 2019, steered Finland into the track of becoming a leading country in the application of AI.",Unknown,Finland,0.5418641390205371,0.5,0.5,,3,1,High,0.7456666666666666
OECD,AI PROGRAMME,Other,General Public,0.0,0.0,0.0,0.0,0.0,2,2017.0,0,0,0,0,1,0,"The AI programme, which published its interim report with eight proposals in October 2017 and final report in 2019, steered Finland into the track of becoming a leading country in the application of AI.",Unknown,Finland,0.5418641390205371,0.5,0.5,,3,1,High,0.7456666666666666
OECD,DIGITAL ROADMAP AUSTRIA,Other,General Public,0.0,0.0,0.0,0.0,0.0,3,2017.0,0,0,0,0,0,0,The Digital Roadmap provides an overview of current and future challenges surrounding digitalisation.,Unknown,Austria,0.5418641390205371,0.5,0.5,,3,1,Low,0.5372380952380952
OECD,EUROPEAN GROUP ON ETHICS IN SCIENCE AND NEW TECHNOLOGIES,Technology,General Public,0.0,0.0,0.0,0.0,0.0,9,1991.0,0,0,1,0,1,0,"Independent, multi-disciplinary body appointed by the President of the European Commission which advises on all aspects of Commission policies where ethical, societal and fundamental rights issues intersect with the development of science and new technologies.",Unknown,European Union,0.09320695102685624,0.7,0.8,,5,1,Medium,0.81
OECD,ROBOTICS PUBLIC-PRIVATE PARTNERSHIP IN HORIZON 2020,Social,General Public,0.0,0.0,0.0,0.0,0.0,6,2014.0,0,0,0,0,0,1,Public private partnership in Horizon 2020 on robotics.,Unknown,European Union,0.08425487098472881,0.65,0.4,,-1,1,Medium,0.5528333333333333
